0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,user_id
0.15049116,0.46326718,0.5278191,0.41628975,0.3700064,0.28406498,0.36763424,-0.06416815,-0.29813635,-1.1051807,-0.023430485,0.08544433,-0.37334624,-0.4267502,0.12718019,-0.1286932,-0.49616835,-0.0028735362,0.069280125,0.2389478,1.5388005,0.6517866,0.075384535,0.615079,0.28965586,-0.07790444,-0.15163997,0.103303395,-0.22567175,0.30628774,-0.39215785,-0.55091757,766
-0.5111069,-0.3441189,0.42793882,0.61211836,0.42224908,-0.7619062,0.41656762,1.2723304,-0.04934902,-0.24961144,-1.2879112,0.049526036,-0.08719628,0.29103053,0.044165596,-0.48897204,-0.3641307,-0.824004,0.2274304,0.5210616,-0.24318337,-0.23280367,0.2142408,-0.8044154,-0.0873649,0.5949774,-0.3513596,-0.7247919,-0.1414752,-0.4048118,-0.69473535,-0.21407098,174
0.3355915,-0.0046219863,0.39089546,0.8988434,0.39304134,-0.50202197,0.54674125,0.26532543,0.4069159,-0.8085257,-0.18271932,0.2267269,-0.20486338,-0.29044962,0.49224582,-0.48647875,-0.20534174,-0.0030241907,0.37874085,0.40548924,0.58777714,0.46122387,0.11910666,0.21641897,0.7040086,0.17518532,-0.23867598,0.427486,-0.3319705,-0.31076455,-0.6073015,-0.3711204,213
0.20622446,0.10033509,0.25075084,0.6599566,0.10138751,-0.6964825,0.4225563,0.33212876,0.507192,-0.7125902,-0.6728971,0.41986838,0.15002038,0.056044243,-0.21049792,0.076531775,0.1758457,-0.015488159,0.40649402,0.44357303,0.67057675,0.44945356,0.40718856,-0.32166162,0.19425687,0.15204863,-0.23381656,0.26248354,-0.103807636,-0.36032933,-0.08602601,-0.19284382,417
-0.28879398,-0.010565938,0.29857594,0.5862084,0.7400311,-0.49463114,0.28734773,0.5911079,0.030438446,-0.79394627,-0.8254746,0.23778889,-0.160871,-0.020482603,0.34201977,-0.20985454,-0.44209337,-0.4355774,0.3188836,0.29789484,0.95794046,0.15624511,0.30403012,-0.21492192,0.10947381,0.39497882,-0.36820665,-0.032382995,-0.14727218,-0.47265527,-0.5441142,-0.3780977,378
-0.3815467,-1.1432011,-0.49284127,-0.30171293,0.14584394,0.37971488,-0.81194955,-0.18513432,-0.15160078,-0.17051876,-0.33099112,-0.20304212,-0.9950399,-0.6507716,0.56805533,0.41412246,-1.5511005,-0.72112304,-1.3845179,-0.70575446,0.66231644,-1.1560156,0.4853421,0.6061761,-0.59462965,0.10562198,0.09043509,-0.5349751,-0.8993628,-1.1630368,0.62882143,0.34717128,585
1.1338598,-0.50128794,-0.15574388,-1.0385575,0.15287626,0.29865897,-0.67847687,0.030209962,0.43636414,0.5414483,-0.081621274,0.26764736,-0.8365035,-0.6458071,-0.25475302,-0.015184792,-1.2627559,-0.50420105,-0.3785257,-0.3601555,-0.101196356,-0.4954183,0.42306292,1.2141738,-0.61853456,0.15966132,0.19430624,0.3058682,-0.41406757,-0.1464344,0.3161656,-0.16988409,828
0.1172685,-0.42373323,0.32857564,-0.13875549,0.34000048,0.30618003,0.2450325,0.15811191,-0.2209853,-0.19170567,-0.08786908,0.35961437,-0.62639767,-0.63528204,0.41932687,-0.3200582,-0.50091404,-0.6893064,0.19884448,0.03999859,0.6549206,0.61446536,0.31090456,0.56631494,0.16620478,0.3885963,-0.5715516,0.23816702,-0.02911165,-0.26838994,-0.35644963,-0.63234806,499
0.67993164,0.30004632,0.19603132,1.1261278,-0.10110956,-0.94474846,0.39941388,0.4452588,0.6754638,-1.0157971,-0.09817821,0.4684477,0.32306257,0.19808204,0.028345682,-0.63696074,0.37975922,0.51989853,0.7409214,0.3039543,0.71058756,0.475535,-0.05620089,-0.39402032,0.5376158,0.011285722,-0.20208079,0.558812,0.07186957,-0.06943093,-0.19775657,-0.1637756,943
1.0421456,0.27862853,0.4101015,0.017119955,0.17055489,0.048956152,0.24208552,0.33285692,0.62047815,-0.4856937,-0.50093234,0.023955464,-0.39762944,-0.41647926,-0.122278966,-0.40454566,-0.32631138,0.27700904,0.14871922,0.54320395,0.9372361,-0.20015228,0.20297942,0.72154075,-0.22544569,0.05619421,0.33242378,0.41585493,-0.22946534,0.33120945,-0.30124608,-0.40693086,201
