0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,item_id
0.24723768,-0.0011336766,0.29875004,0.4271342,0.40440008,0.17110407,0.50276935,-0.08539494,-0.14704412,-0.8173517,0.27880454,0.39498523,-0.49595904,-0.5997185,0.6723095,-0.3564277,-0.24516504,-0.2662704,0.28426298,0.32143432,1.1328545,0.94200975,0.25847813,0.7232809,0.43450874,0.13834769,-0.45032245,0.55013865,-0.064788714,-0.03890554,-0.3502252,-0.66136163,205
-0.108346924,-0.3030948,0.2440969,0.9274205,0.6318562,-0.94707054,0.5035186,0.5752893,0.67369336,-0.26277095,-0.47598457,0.28021145,-0.2752496,-0.18862492,0.59248054,-0.31294188,-0.45302418,-0.2036739,0.2714659,0.35982653,-0.77794445,0.15194693,0.43441716,-0.17557435,0.56799537,0.37816948,-0.18203297,0.36147165,-0.52057356,-0.6805331,-0.65013534,-0.11461972,284
0.086665176,-0.12172273,0.54714257,0.42843235,0.5780648,0.09755193,0.45172942,0.096854,-0.19990575,-0.9479319,-0.065935984,0.33124164,-0.6860843,-0.6164542,0.59366393,-0.33862498,-0.8513639,-0.42711136,0.074057154,0.32057476,1.3643,0.48497906,0.16473055,0.7779423,0.39030337,0.21277052,-0.40265453,0.30762178,-0.38678303,-0.041467313,-0.6972636,-0.69085705,479
0.87483245,0.17952521,0.97610086,0.88926536,0.69792104,-0.31836098,0.8835066,0.5146241,0.38274556,-1.2862823,-0.42380473,0.437702,-0.47195148,-0.57783955,0.3586875,-0.68227315,-0.331533,-0.21922393,0.71135217,0.80494684,1.4519129,0.9537705,0.46232882,0.6837456,0.88257307,0.4417949,-0.597964,0.6576939,-0.4557668,-0.28653878,-0.7529047,-0.8988376,98
-0.2193776,0.20127675,0.44517615,0.5881331,0.19032678,-0.2628923,0.45085585,0.38601923,-0.097140834,-0.6112798,-0.30183488,0.35267,0.122605175,0.040422797,0.32869378,-0.45714912,0.24968892,-0.18931322,0.57753444,0.4124748,0.6814159,0.4171541,0.042713933,-0.40607435,0.44031206,0.17321005,-0.42439285,-0.021845631,0.2392959,-0.1439842,-0.34498963,-0.33625004,356
-0.024601575,-0.13124497,0.055325147,0.09805326,0.39784443,0.08835493,-0.03042544,0.000689283,-0.06202743,-0.4559064,-0.29716468,-0.24285571,-0.4889916,-0.32032785,0.17454693,0.07745731,-0.83982253,-0.16445288,-0.5246906,0.06508216,0.7774824,-0.3971554,0.3460006,0.50566924,-0.21593983,-0.05299923,0.20967361,-0.016649809,-0.5129941,-0.32434416,-0.1163078,-0.05024313,639
0.2752497,-0.20808245,0.19575617,-0.58857983,0.1350363,0.44869584,-0.3992865,0.24904332,-0.09863108,0.028453212,-0.22631294,-0.052367546,-0.46410292,-0.29697967,-0.023126125,-0.17566422,-0.6403329,-0.38268155,-0.48798004,-0.11511271,0.409754,-0.48751196,0.16912608,0.51773006,-0.47868136,0.18766144,0.041308008,-0.2381409,-0.2966979,0.0014661252,0.1934668,-0.2251209,958
-0.61760104,-0.14717442,0.46598876,0.37035355,0.588212,0.4188501,0.49371573,-0.021922037,-0.68755466,-0.7308354,0.16378143,0.3941872,-0.47936648,-0.4562432,0.5655776,-0.116912365,-0.34326112,-0.6187483,0.16298567,0.25413877,1.1650999,0.74093914,0.31001198,0.34728882,0.1707516,0.26292685,-0.46929854,0.0686166,0.16331969,-0.14757387,-0.43534723,-0.5777545,136
0.29770634,0.21055022,0.12927975,0.48069066,0.0798061,-0.32008624,0.25180963,0.21569864,0.2970339,-0.63120455,0.0051920526,0.24802342,0.024327416,0.12251589,0.26367936,-0.32414627,-0.083666146,0.20039903,0.33149764,0.11836857,0.70418006,0.23760259,0.017451325,0.029905802,0.20020059,0.09515455,-0.03745992,0.3317876,0.02631924,0.067034826,-0.13827677,-0.2296583,76
-0.27938542,-0.27565482,0.12786181,0.80370617,0.7177037,-0.7108198,0.46541977,0.35231814,0.2935632,-0.3307849,-0.47074273,0.2546485,0.05096488,-0.16866213,0.3594767,-0.16127834,0.06905697,-0.21172291,0.34442592,0.56247926,-0.33293134,0.53101563,0.35502136,-0.2914213,0.5814225,0.2562568,-0.5382314,0.15451045,-0.28676486,-0.8413583,-0.566841,-0.1202986,596
0.1290364,-1.0450673,0.5121448,-0.56440437,0.53039694,0.24493037,0.3975447,0.4779874,0.06544851,1.0519352,-0.5194503,0.51932985,-0.6044903,-0.5738927,0.7180502,-0.5756226,0.07323973,-1.1391549,0.3871771,0.7494556,-0.9567977,0.5217678,0.64289325,0.50974107,0.18191591,0.62710345,-0.95913756,-0.05185081,-0.35859725,-0.83265996,-0.32632983,-0.4899332,304
0.19502045,-0.76260424,0.8266288,-0.011688329,0.6113627,0.03978704,1.0010679,0.739738,0.19360797,0.9932825,-0.6518713,1.1004121,-0.6383139,-0.65278393,0.95286655,-0.8172697,0.56428915,-1.1441453,1.0991213,1.0575027,-1.1670095,1.2304426,0.7119043,0.35097742,0.731106,0.78342956,-1.2539876,0.44354272,-0.10465649,-0.96031034,-0.5654453,-0.88041914,300
0.51451105,-0.46642226,0.82410264,-1.2352965,0.66984797,0.85871315,0.101948895,0.4228447,0.17175114,0.95530385,-0.6047033,0.3685822,-0.9527516,-0.65998685,0.42676672,-0.47066784,-1.0960598,-0.5906203,0.25342512,0.29241997,-0.5095184,0.16386867,0.4456014,1.0689166,-0.1366853,0.602942,-0.4679386,0.48983967,-0.19921204,0.023524985,-0.68953687,-0.6299202,303
0.552356,-0.10666609,0.42657077,0.5165796,0.3366064,0.09823685,0.2095297,-0.098640144,0.11669877,-1.2228069,0.060187854,0.1696683,-0.5452731,-0.61414486,0.38743207,-0.11252079,-0.86201406,-0.010008082,-0.044052064,0.11871557,1.6942722,0.48895925,0.31507194,0.94230056,0.056767058,0.03991029,-0.1307839,0.5918916,-0.28808013,0.09197093,-0.22526571,-0.6309297,474
0.75334024,-0.4986324,0.6290307,0.75915873,0.70842254,-0.92602575,0.56893814,0.8688773,0.7667304,-0.22481215,-0.66189367,0.16291258,-0.6617992,-0.396784,0.7849092,-0.5479752,-1.2043983,-0.48531875,0.29561448,0.36737657,-0.82654905,0.029427566,0.5718232,0.6726544,0.5591726,0.66748285,-0.41578954,0.42136407,-1.066398,-0.33641168,-0.8093699,-0.6170211,276
0.79344475,0.5461421,0.84135294,0.5351824,0.5370006,0.14559168,0.61827195,0.3203311,0.17804992,-1.0467715,-0.3041821,0.11143252,-0.47176498,-0.5411942,0.16527784,-0.5157554,-0.3474093,-0.06658401,0.39236063,0.7072934,1.4122665,0.6800798,0.3261235,0.83560956,0.7452489,0.28960764,-0.32054436,0.43198523,-0.54554415,0.041445084,-0.7308982,-0.9403531,185
